,날짜,요일,날씨,총계,평균기온(℃),강수량(mm)
0,01-01,월,맑음,2316,-1.3,0.0
1,01-02,화,구름 조금,988,-1.8,1.25
2,01-03,수,구름 조금,694,-4.7,1.25
3,01-04,목,흐림,671,-4.7,6.5
4,01-05,금,구름 조금,758,-3.0,1.25
5,01-06,토,맑음,1935,-2.8,0.0
6,01-07,일,흐림,1881,-0.8,6.5
7,01-08,월,흐림,634,1.3,0.0
8,01-09,화,구름 많음,523,-4.2,0.0
9,01-10,수,구름 조금,382,-7.5,0.0
10,01-11,목,맑음,312,-11.1,0.0
11,01-12,금,맑음,228,-10.2,0.0
12,01-13,토,맑음,1015,-4.4,0.0
13,01-14,일,구름 많음,1654,0.6,0.0
14,01-15,월,구름 조금,645,4.7,0.0
15,01-16,화,비,699,3.5,0.0
16,01-17,수,구름 조금,631,4.5,1.25
17,01-18,목,구름 많음,1503,2.1,0.0
18,01-19,금,맑음,918,1.0,0.0
19,01-20,토,구름 조금,2083,2.2,1.25
20,01-21,일,구름 많음,2123,0.4,0.0
21,01-22,월,눈,852,0.2,0.0
22,01-23,화,맑음,363,-11.7,0.0
23,01-24,수,맑음,128,-14.2,0.0
24,01-25,목,맑음,162,-14.0,0.0
25,01-26,금,맑음,222,-14.8,0.0
26,01-27,토,구름 조금,655,-9.9,1.25
27,01-28,일,구름 조금,962,-6.3,1.25
28,01-29,월,맑음,409,-8.5,0.0
29,01-30,화,구름 많음,9660,-5.3,0.0
30,01-31,수,구름 많음,585,-2.6,0.0
31,02-01,목,맑음,679,-4.0,0.0
32,02-02,금,구름 많음,704,-2.4,0.0
33,02-03,토,구름 조금,1049,-7.3,0.0
34,02-04,일,맑음,790,-9.5,0.0
35,02-05,월,맑음,348,-9.4,0.0
36,02-06,화,구름 조금,369,-10.1,1.25
37,02-07,수,구름 많음,418,-8.0,0.0
38,02-08,목,맑음,724,-4.4,0.0
39,02-09,금,맑음,657,0.4,0.0
40,02-10,토,맑음,1861,-0.5,0.0
41,02-11,일,눈,1159,-6.1,0.0
42,02-12,월,구름 많음,499,-5.8,0.0
43,02-13,화,맑음,725,-0.8,0.0
44,02-14,수,맑음,810,3.5,0.0
45,02-15,목,구름 조금,1765,-0.7,1.25
46,02-16,금,맑음,3007,-1.1,0.0
47,02-17,토,맑음,3590,-3.0,0.0
48,02-18,일,구름 많음,3370,-0.4,0.0
49,02-19,월,구름 많음,1558,1.8,0.0
50,02-20,화,구름 조금,1243,0.9,1.25
51,02-21,수,구름 조금,1169,-0.9,1.25
52,02-22,목,구름 많음,1348,1.3,0.0
53,02-23,금,구름 조금,1079,4.2,0.0
54,02-24,토,구름 많음,3362,2.4,0.0
55,02-25,일,맑음,6139,1.9,0.0
56,02-26,월,구름 조금,2252,3.1,1.25
57,02-27,화,흐림,1517,4.2,6.5
58,02-28,수,비,626,4.6,0.0
59,03-01,목,맑음,3290,13.707370184254607,0.0
60,03-02,금,맑음,1500,13.707370184254607,0.0
61,03-03,토,구름 많음,14540,13.707370184254607,0.0
62,03-04,일,흐림,3619,-0.2,0.0
63,03-05,월,구름 조금,1049,-0.7,1.25
64,03-06,화,구름 조금,1751,7.9,0.0
65,03-07,수,구름 많음,1434,9.8,0.0
66,03-08,목,흐림,604,5.5,0.0
67,03-09,금,구름 조금,1366,4.5,1.25
68,03-10,토,구름 조금,10723,6.4,0.0
69,03-11,일,구름 조금,14512,4.6,0.0
70,03-12,월,맑음,1555,4.5,0.0
71,03-13,화,구름 조금,1819,4.6,1.25
72,03-14,수,구름 조금,3032,6.4,1.25
73,03-15,목,비,390,8.0,20.0
74,03-16,금,맑음,2101,12.4,0.0
75,03-17,토,구름 많음,21711,17.0,0.0
76,03-18,일,흐림,11340,12.4,0.0
77,03-19,월,구름 조금,785,7.1,1.25
78,03-20,화,구름 많음,1228,6.6,0.0
79,03-21,수,눈,2184,8.2,0.0
80,03-22,목,맑음,1559,8.0,0.0
81,03-23,금,구름 조금,1922,4.7,1.25
82,03-24,토,구름 조금,8418,2.1,0.0
83,03-25,일,맑음,7334,4.9,0.0
84,03-26,월,맑음,1227,6.1,0.0
85,03-27,화,구름 조금,1297,7.6,1.25
86,03-28,수,구름 조금,1830,9.6,1.25
87,03-29,목,구름 조금,1588,11.0,1.25
88,03-30,금,맑음,3670,13.3,0.0
89,03-31,토,구름 조금,24609,14.0,1.25
90,04-01,일,흐림,15121,15.4,6.5
91,04-02,월,맑음,2785,14.8,0.0
92,04-03,화,맑음,3689,14.0,0.0
93,04-04,수,맑음,2575,15.6,0.0
94,04-05,목,맑음,992,18.4,0.0
95,04-06,금,구름 많음,3920,17.8,0.0
96,04-07,토,구름 많음,12741,13.4,0.0
97,04-08,일,흐림,12683,7.6,0.0
98,04-09,월,구름 조금,5775,5.8,0.0
99,04-10,화,구름 많음,7236,4.2,0.0
100,04-11,수,맑음,4184,3.9,0.0
101,04-12,목,맑음,7264,7.9,0.0
102,04-13,금,구름 많음,8694,15.1,0.0
103,04-14,토,흐림,2097,12.6,6.5
104,04-15,일,구름 조금,21355,13.3,1.25
105,04-16,월,구름 조금,5480,14.6,1.25
106,04-17,화,맑음,5164,9.0,0.0
107,04-18,수,맑음,5634,9.5,0.0
108,04-19,목,맑음,5069,11.6,0.0
109,04-20,금,맑음,5353,12.9,0.0
110,04-21,토,구름 조금,32610,12.4,1.25
111,04-22,일,비,7680,14.0,20.0
112,04-23,월,비,288,18.4,20.0
113,04-24,화,구름 많음,4340,18.7,0.0
114,04-25,수,맑음,8633,15.5,0.0
115,04-26,목,구름 조금,15833,9.3,0.0
116,04-27,금,맑음,14350,12.1,0.0
117,04-28,토,맑음,22964,14.6,0.0
118,04-29,일,구름 조금,29774,14.9,1.25
119,04-30,월,구름 조금,15101,15.7,1.25
120,05-01,화,흐림,22284,15.4,6.5
121,05-02,수,비,1349,16.2,20.0
122,05-03,목,흐림,9103,19.2,6.5
123,05-04,금,맑음,11398,13.707370184254607,0.0
124,05-05,토,맑음,52310,20.4,0.0
125,05-06,일,비,3344,15.1,0.0
126,05-07,월,구름 많음,32821,11.2,0.0
127,05-08,화,맑음,5728,14.1,0.0
128,05-09,수,맑음,5892,18.3,0.0
129,05-10,목,비,6762,16.6,22.0
130,05-11,금,구름 많음,9835,19.2,0.0
131,05-12,토,비,1345,17.5,20.0
132,05-13,일,구름 조금,23131,15.7,1.25
133,05-14,월,맑음,4102,15.4,0.0
134,05-15,화,구름 많음,4825,16.1,0.0
135,05-16,수,비,896,14.2,0.0
136,05-17,목,비,1309,15.8,0.0
137,05-18,금,흐림,5492,18.2,6.5
138,05-19,토,맑음,33655,23.2,0.0
139,05-20,일,구름 많음,30449,22.3,0.0
140,05-21,월,구름 조금,19298,20.9,0.0
141,05-22,화,흐림,28495,16.3,0.0
142,05-23,수,맑음,6302,17.6,0.0
143,05-24,목,맑음,6387,17.0,0.0
144,05-25,금,구름 많음,8457,17.8,0.0
145,05-26,토,맑음,27705,18.1,0.0
146,05-27,일,구름 많음,32244,17.3,0.0
147,05-28,월,구름 조금,27205,18.3,1.25
148,05-29,화,구름 많음,8741,19.7,0.0
149,05-30,수,구름 많음,7303,21.8,0.0
150,05-31,목,맑음,26276,20.3,0.0
151,06-01,금,맑음,9969,22.3,0.0
152,06-02,토,맑음,26341,21.4,0.0
153,06-03,일,맑음,25808,20.2,0.0
154,06-04,월,구름 많음,5922,20.9,0.0
155,06-05,화,구름 조금,9027,23.8,1.25
156,06-06,수,맑음,29944,23.4,0.0
157,06-07,목,구름 조금,6171,24.0,1.25
158,06-08,금,구름 조금,7157,22.6,1.25
159,06-09,토,흐림,18036,23.7,6.5
160,06-10,일,흐림,19328,23.0,6.5
161,06-11,월,구름 많음,3626,22.2,0.0
162,06-12,화,구름 조금,5547,21.9,1.25
163,06-13,수,구름 많음,17997,23.7,0.0
164,06-14,목,비,1766,21.3,0.0
165,06-15,금,구름 조금,4362,20.2,0.0
166,06-16,토,구름 조금,15207,21.3,0.0
167,06-17,일,구름 많음,12254,22.0,0.0
168,06-18,월,맑음,2432,21.6,0.0
169,06-19,화,구름 많음,3781,21.7,0.0
170,06-20,수,구름 조금,3212,22.5,1.25
171,06-21,목,맑음,2893,22.8,0.0
172,06-22,금,구름 조금,16022,24.8,1.25
173,06-23,토,구름 많음,8845,22.4,0.0
174,06-24,일,맑음,6553,22.7,0.0
175,06-25,월,구름 많음,2284,23.7,0.0
176,06-26,화,비,13766,25.0,20.0
177,06-27,수,구름 많음,1986,24.5,0.0
178,06-28,목,구름 많음,1969,25.2,0.0
179,06-29,금,구름 많음,8100,27.1,0.0
180,06-30,토,비,3604,22.3,0.0
181,07-01,일,비,411,22.3,0.0
182,07-02,월,비,334,23.3,0.0
183,07-03,화,구름 많음,1777,24.7,0.0
184,07-04,수,구름 많음,1568,24.4,0.0
185,07-05,목,비,1283,13.707370184254607,20.0
186,07-06,금,구름 많음,2418,21.9,0.0
187,07-07,토,구름 많음,11179,22.6,0.0
188,07-08,일,흐림,12207,27.4,0.0
189,07-09,월,비,574,27.3,20.0
190,07-10,화,흐림,1614,25.3,0.0
191,07-11,수,구름 많음,1407,23.9,0.0
192,07-12,목,구름 조금,2517,23.7,1.25
193,07-13,금,구름 많음,1356,23.3,0.0
194,07-14,토,구름 조금,3918,20.8,0.0
195,07-15,일,구름 조금,3031,23.7,0.0
196,07-16,월,맑음,852,26.8,0.0
197,07-17,화,맑음,1139,26.6,0.0
198,07-18,수,맑음,14697,27.3,0.0
199,07-19,목,맑음,899,27.9,0.0
200,07-20,금,맑음,756,28.3,0.0
201,07-21,토,맑음,1537,28.7,0.0
202,07-22,일,구름 조금,1228,28.1,1.25
203,07-23,월,맑음,605,28.2,0.0
204,07-24,화,맑음,516,28.7,0.0
205,07-25,수,맑음,651,29.5,0.0
206,07-26,목,맑음,712,30.6,0.0
207,07-27,금,구름 많음,1830,31.8,0.0
208,07-28,토,비,1410,31.7,20.0
209,07-29,일,구름 조금,1620,31.4,1.25
210,07-30,월,구름 많음,937,30.1,0.0
211,07-31,화,구름 조금,1320,30.1,1.25
212,08-01,수,맑음,607,30.9,0.0
213,08-02,목,구름 조금,792,29.5,0.0
214,08-03,금,구름 조금,701,31.3,1.25
215,08-04,토,구름 조금,1558,31.7,1.25
216,08-05,일,구름 많음,1690,32.6,0.0
217,08-06,월,구름 많음,815,33.6,0.0
218,08-07,화,구름 많음,816,33.7,0.0
219,08-08,수,구름 많음,720,33.1,0.0
220,08-09,목,비,1072,31.1,20.0
221,08-10,금,비,725,30.0,0.0
222,08-11,토,구름 조금,2070,30.5,0.0
223,08-12,일,구름 많음,3107,30.5,0.0
224,08-13,월,구름 많음,865,31.0,0.0
225,08-14,화,구름 많음,943,28.8,0.0
226,08-15,수,구름 많음,1790,30.7,0.0
227,08-16,목,구름 조금,755,31.0,1.25
228,08-17,금,맑음,1690,30.6,0.0
229,08-18,토,구름 조금,7856,30.5,0.0
230,08-19,일,구름 많음,7320,31.7,0.0
231,08-20,월,구름 많음,1315,31.7,0.0
232,08-21,화,구름 많음,1185,29.9,0.0
233,08-22,수,구름 조금,1501,27.2,1.25
234,08-23,목,비,520,26.7,20.0
235,08-24,금,비,480,28.2,20.0
236,08-25,토,구름 많음,10258,29.1,0.0
237,08-26,일,비,5426,26.6,0.0
238,08-27,월,비,549,30.7,20.0
239,08-28,화,비,644,29.4,0.0
240,08-29,수,비,4342,24.4,0.0
241,08-30,목,구름 많음,1066,25.2,0.0
242,08-31,금,구름 많음,2373,23.2,0.0
243,09-01,토,구름 조금,15182,22.7,0.0
244,09-02,일,구름 많음,15541,23.7,0.0
245,09-03,월,비,684,25.2,0.0
246,09-04,화,구름 조금,2211,25.3,0.0
247,09-05,수,맑음,2910,25.6,0.0
248,09-06,목,구름 많음,2383,25.5,0.0
249,09-07,금,구름 조금,3470,25.1,1.25
250,09-08,토,맑음,22103,23.3,0.0
251,09-09,일,구름 조금,23202,23.2,1.25
252,09-10,월,구름 조금,3329,24.0,1.25
253,09-11,화,구름 많음,3546,24.1,0.0
254,09-12,수,구름 조금,3032,22.0,0.0
255,09-13,목,구름 많음,3182,21.7,0.0
256,09-14,금,흐림,3111,22.2,6.5
257,09-15,토,흐림,10686,22.9,6.5
258,09-16,일,흐림,9048,21.6,6.5
259,09-17,월,맑음,3011,22.8,0.0
260,09-18,화,구름 많음,3310,23.5,0.0
261,09-19,수,구름 많음,7333,23.5,0.0
262,09-20,목,흐림,1696,23.3,0.0
263,09-21,금,흐림,741,22.2,0.0
264,09-22,토,맑음,14301,22.3,0.0
265,09-23,일,구름 많음,13065,22.0,0.0
266,09-24,월,맑음,19661,22.1,0.0
267,09-25,화,맑음,29558,19.0,0.0
268,09-26,수,구름 조금,21131,19.4,0.0
269,09-27,목,흐림,5153,20.8,6.5
270,09-28,금,구름 조금,5910,19.4,0.0
271,09-29,토,맑음,22289,17.6,0.0
272,09-30,일,맑음,19868,17.8,0.0
273,10-01,월,구름 많음,3207,19.4,0.0
274,10-02,화,맑음,4863,18.9,0.0
275,10-03,수,맑음,27449,17.5,0.0
276,10-04,목,구름 조금,4159,20.2,1.25
277,10-05,금,비,1426,17.6,20.0
278,10-06,토,비,1355,13.707370184254607,20.0
279,10-07,일,구름 조금,22060,15.4,0.0
280,10-08,월,구름 조금,11611,15.9,1.25
281,10-09,화,구름 많음,27514,17.3,0.0
282,10-10,수,구름 조금,3384,19.3,1.25
283,10-11,목,구름 조금,5071,16.9,0.0
284,10-12,금,맑음,8295,18.0,0.0
285,10-13,토,맑음,16641,16.4,0.0
286,10-14,일,구름 많음,17762,14.8,0.0
287,10-15,월,맑음,7580,15.3,0.0
288,10-16,화,구름 많음,4861,12.0,0.0
289,10-17,수,맑음,5903,9.7,0.0
290,10-18,목,비,5146,10.9,20.0
291,10-19,금,맑음,11385,12.5,0.0
292,10-20,토,맑음,22515,13.2,0.0
293,10-21,일,맑음,21366,15.2,0.0
294,10-22,월,맑음,4455,14.5,0.0
295,10-23,화,비,2405,12.4,20.0
296,10-24,수,맑음,5240,12.7,0.0
297,10-25,목,구름 조금,6662,13.1,1.25
298,10-26,금,비,14286,13.4,20.0
299,10-27,토,구름 많음,21561,13.4,0.0
300,10-28,일,비,4916,14.0,20.0
301,10-29,월,구름 많음,3342,12.2,0.0
302,10-30,화,구름 조금,3786,12.5,1.25
303,10-31,수,맑음,5730,13.8,0.0
304,11-01,목,맑음,3923,12.2,0.0
305,11-02,금,맑음,5152,8.7,0.0
306,11-03,토,맑음,16626,8.3,0.0
307,11-04,일,구름 조금,15903,7.2,0.0
308,11-05,월,구름 조금,2780,6.1,0.0
309,11-06,화,구름 많음,2108,7.4,0.0
310,11-07,수,흐림,1321,8.4,6.5
311,11-08,목,비,576,10.6,20.0
312,11-09,금,구름 조금,2922,11.2,1.25
313,11-10,토,맑음,6233,11.6,0.0
314,11-11,일,비,5204,11.9,20.0
315,11-12,월,맑음,2316,12.2,0.0
316,11-13,화,맑음,2244,12.8,0.0
317,11-14,수,맑음,2219,11.8,0.0
318,11-15,목,구름 많음,1911,12.1,0.0
319,11-16,금,구름 많음,1626,11.9,0.0
320,11-17,토,구름 많음,6659,8.1,0.0
321,11-18,일,구름 많음,6404,8.1,0.0
322,11-19,월,구름 조금,1383,8.8,1.25
323,11-20,화,맑음,1427,9.8,0.0
324,11-21,수,비,893,9.7,20.0
325,11-22,목,맑음,4964,8.8,0.0
326,11-23,금,맑음,1208,4.9,0.0
327,11-24,토,구름 많음,1404,6.1,0.0
328,11-25,일,구름 조금,3699,6.5,1.25
329,11-26,월,맑음,1169,6.5,0.0
330,11-27,화,구름 많음,923,5.8,0.0
331,11-28,수,구름 조금,895,2.3,1.25
332,11-29,목,구름 많음,8472,1.9,0.0
333,11-30,금,구름 조금,987,2.6,0.0
334,12-01,토,맑음,4005,4.8,0.0
335,12-02,일,흐림,3381,6.3,6.5
336,12-03,월,흐림,356,7.1,6.5
337,12-04,화,구름 많음,610,5.0,0.0
338,12-05,수,구름 많음,815,3.5,0.0
339,12-06,목,구름 많음,878,2.7,0.0
340,12-07,금,구름 조금,440,13.707370184254607,1.25
341,12-08,토,구름 조금,807,5.5,1.25
342,12-09,일,구름 조금,808,8.2,1.25
343,12-10,월,맑음,553,11.5,0.0
344,12-11,화,흐림,997,6.7,0.0
345,12-12,수,맑음,2089,0.0,0.0
346,12-13,목,구름 조금,854,2.4,0.0
347,12-14,금,맑음,456,-7.3,0.0
348,12-15,토,구름 조금,1381,-8.3,1.25
349,12-16,일,흐림,1134,-7.2,6.5
350,12-17,월,맑음,656,-2.5,0.0
351,12-18,화,구름 조금,861,0.2,1.25
352,12-19,수,구름 조금,809,-1.9,1.25
353,12-20,목,구름 조금,876,-2.2,0.0
354,12-21,금,구름 많음,1630,-4.4,0.0
355,12-22,토,구름 조금,1982,-2.4,1.25
356,12-23,일,맑음,2948,0.0,0.0
357,12-24,월,맑음,982,1.6,0.0
358,12-25,화,흐림,2402,2.6,6.5
359,12-26,수,구름 조금,752,4.0,1.25
360,12-27,목,맑음,3943,3.4,0.0
361,12-28,금,맑음,357,5.6,0.0
362,12-29,토,맑음,734,6.9,0.0
363,12-30,일,맑음,915,2.4,0.0
364,12-31,월,맑음,834,-2.3,0.0
365,01-01,화,구름 조금,1524,-5.0,1.25
366,01-02,수,맑음,634,-4.9,0.0
367,01-03,목,맑음,777,-3.5,0.0
368,01-04,금,구름 많음,690,-1.1,0.0
369,01-05,토,맑음,1601,-2.8,0.0
370,01-06,일,맑음,2057,-2.8,0.0
371,01-07,월,맑음,773,-1.9,0.0
372,01-08,화,맑음,804,-3.5,0.0
373,01-09,수,구름 많음,529,-4.7,0.0
374,01-10,목,구름 많음,839,-0.6,0.0
375,01-11,금,맑음,814,2.4,0.0
376,01-12,토,맑음,1855,2.8,0.0
377,01-13,일,맑음,1680,1.2,0.0
378,01-14,월,맑음,433,1.4,0.0
379,01-15,화,구름 조금,493,-1.7,0.0
380,01-16,수,맑음,674,-5.2,0.0
381,01-17,목,맑음,1220,-0.3,0.0
382,01-18,금,맑음,810,0.6,0.0
383,01-19,토,흐림,1738,3.6,6.5
384,01-20,일,맑음,2064,-1.4,0.0
385,01-21,월,구름 조금,731,-1.2,0.0
386,01-22,화,구름 조금,988,1.7,1.25
387,01-23,수,맑음,756,2.0,0.0
388,01-24,목,구름 조금,1010,0.1,1.25
389,01-25,금,맑음,882,-1.2,0.0
390,01-26,토,맑음,2023,-2.5,0.0
391,01-27,일,맑음,2391,-0.1,0.0
392,01-28,월,구름 조금,703,1.2,0.0
393,01-29,화,구름 조금,938,-0.2,1.25
394,01-30,수,구름 많음,716,1.8,0.0
395,01-31,목,구름 많음,1624,-2.0,0.0
396,02-01,금,맑음,626,-2.1,0.0
397,02-02,토,구름 많음,1630,1.4,0.0
398,02-03,일,비,405,3.3,0.0
399,02-04,월,맑음,2550,-0.6,0.0
400,02-05,화,맑음,3855,2.8,0.0
401,02-06,수,맑음,4046,5.1,0.0
402,02-07,목,구름 조금,996,-2.1,0.0
403,02-08,금,맑음,771,-6.1,0.0
404,02-09,토,맑음,1771,-5.4,0.0
405,02-10,일,구름 많음,1652,-5.0,0.0
406,02-11,월,맑음,732,-3.0,0.0
407,02-12,화,구름 조금,1041,-0.6,0.0
408,02-13,수,맑음,917,-2.1,0.0
409,02-14,목,구름 많음,1290,-0.5,0.0
410,02-15,금,흐림,587,-0.8,0.0
411,02-16,토,맑음,1889,-2.7,0.0
412,02-17,일,맑음,2834,-1.8,0.0
413,02-18,월,맑음,1084,0.9,0.0
414,02-19,화,구름 많음,514,1.4,4.6
415,02-20,수,구름 조금,832,1.7,0.0
416,02-21,목,맑음,998,2.4,0.0
417,02-22,금,구름 많음,1005,4.0,0.0
418,02-23,토,맑음,4086,6.8,0.0
419,02-24,일,맑음,7466,6.3,0.0
420,02-25,월,맑음,1428,4.7,0.0
421,02-26,화,맑음,2285,5.2,0.0
422,02-27,수,구름 많음,2595,7.8,0.0
423,02-28,목,구름 조금,2135,6.6,1.25
424,03-01,금,맑음,6264,13.707370184254607,0.0
425,03-02,토,맑음,5491,13.707370184254607,0.0
426,03-03,일,맑음,4393,13.707370184254607,0.0
427,03-04,월,맑음,822,6.6,0.0
428,03-05,화,구름 많음,649,7.8,0.0
429,03-06,수,구름 많음,513,9.4,0.0
430,03-07,목,맑음,1196,9.9,0.0
431,03-08,금,맑음,1622,8.4,0.0
432,03-09,토,맑음,17833,8.4,0.0
433,03-10,일,맑음,9254,7.0,0.0
434,03-11,월,맑음,1025,6.1,0.0
435,03-12,화,맑음,1326,7.2,0.0
436,03-13,수,맑음,1064,10.1,0.0
437,03-14,목,구름 조금,1351,6.6,0.0
438,03-15,금,눈/비,963,3.9,0.0
439,03-16,토,구름 많음,8722,3.5,0.0
440,03-17,일,구름 조금,15718,5.0,0.0
441,03-18,월,구름 많음,1945,5.5,3.5
442,03-19,화,맑음,2077,4.3,0.0
443,03-20,수,흐림,759,6.3,6.5
444,03-21,목,구름 많음,1144,7.1,0.0
445,03-22,금,맑음,1477,10.0,0.0
446,03-23,토,눈/비,3562,10.3,0.0
447,03-24,일,맑음,12787,7.1,0.0
448,03-25,월,구름 많음,1538,3.3,0.0
449,03-26,화,구름 조금,1744,3.3,0.0
450,03-27,수,구름 많음,1117,4.3,0.0
451,03-28,목,구름 많음,1665,7.3,0.0
452,03-29,금,구름 조금,2870,11.4,1.25
453,03-30,토,흐림,2452,11.6,6.5
454,03-31,일,구름 조금,4418,9.4,1.25
455,04-01,월,구름 조금,1876,9.2,1.25
456,04-02,화,구름 조금,2081,5.2,0.0
